Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
An optimized hybrid ensemble machine learning model combining multiple classifiers for detecting advanced persistent threats in networks,Journal of Big Data,,,,10.1186/s40537-025-01272-w,Nadim IbrahimN. R. RajalakshmiV. SivakumarL. Sharmila,2025,https://link.springer.com/article/10.1186/s40537-025-01272-w,Article
Combining EfficientNet with ML-Decoder classification head for multi-label retinal disease classification,Neural Computing and Applications,,,,10.1007/s00521-024-09820-w,Orhan SivazMurat Aykut,2024,https://link.springer.com/article/10.1007/s00521-024-09820-w,Article
Deep attention for enhanced OCT image analysis in clinical retinal diagnosis,Neural Computing and Applications,,,,10.1007/s00521-024-10450-5,Fatma M. TalaatAhmed Ali Ahmed AliRaghda ElGendyMohamed A. ELShafie,2024,https://link.springer.com/article/10.1007/s00521-024-10450-5,Article
An efficient model for diabetic detection using heuristic approach based serial cascaded convolutional ensemble network,Artificial Intelligence Review,,,,10.1007/s10462-025-11334-3,Santosh Kumar BejugamJyothi Vankara,2025,https://link.springer.com/article/10.1007/s10462-025-11334-3,Article
Robustness in deep learning models for medical diagnostics: security and adversarial challenges towards robust AI applications,Artificial Intelligence Review,,,,10.1007/s10462-024-11005-9,Haseeb JavedShaker El-SappaghTamer Abuhmed,2024,https://link.springer.com/article/10.1007/s10462-024-11005-9,Article
Advanced Hybridization and Optimization of DNNs for Medical Imaging: A Survey on Disease Detection Techniques,Artificial Intelligence Review,,,,10.1007/s10462-024-11049-x,Maneet Kaur BohmrahHarjot Kaur,2025,https://link.springer.com/article/10.1007/s10462-024-11049-x,Article
Multistage transfer learning for medical images,Artificial Intelligence Review,,,,10.1007/s10462-024-10855-7,Gelan AyanaKokeb DeseAhmed Mohammed AbagaroKwangcheol Casey JeongSoon-Do YoonSe-woon Choe,2024,https://link.springer.com/article/10.1007/s10462-024-10855-7,Article
Physics-informed machine learning for advancing computational medical imaging: integrating data-driven approaches with fundamental physical principles,Artificial Intelligence Review,,,,10.1007/s10462-025-11303-w,Mohsen AhmadiDebojit BiswasMaohua LinFrank D. VrionisJavad HashemiYufei Tang,2025,https://link.springer.com/article/10.1007/s10462-025-11303-w,Article
OBoctNet: Enhancing Ophthalmic Biomarker Detection Through Active Learning and Explainable AI in Radiological Analysis,Cognitive Computation,,,,10.1007/s12559-025-10451-z,Samya AcharjaMd. Zahid HasanFarjana Haque ChamokKayes Uddin FahimTaslima Ferdaus ShuvaAbdullah Al-Mamun BulbulRisala Tasin KhanMd. Tanvir RahmanM. Shamim KaiserMufti MahmudMohammad Ali Moni,2025,https://link.springer.com/article/10.1007/s12559-025-10451-z,Article
"OptiFeat: enhancing feature selection, a hybrid approach combining subject matter expertise and recursive feature elimination method",Discover Computing,,,,10.1007/s10791-024-09483-0,G. VijayakumarR. K. Bharathi,2024,https://link.springer.com/article/10.1007/s10791-024-09483-0,Article
